payer,code,hospital_name,code_type,hospital_state,cms_baseline_rate,hospital_rate,payer_standard_charge_gross,payer_standard_charge_discounted_cash,payer_standard_charge_negotiated_dollar,payer_standard_charge_negotiated_percentage,payer_standard_charge_min,payer_standard_charge_max,payer_standard_charge_methodology
United Healthcare,99283,The Mount Sinai Hospital,CPT,NY,76.89,123.86,2100.0,329.95,329.95,,78.0,395.94,fee schedule
United Healthcare,99283,The Mount Sinai Hospital,CPT,NY,76.89,123.86,2100.0,329.95,329.95,,78.0,395.94,fee schedule
United Healthcare,99283,The Mount Sinai Hospital,CPT,NY,76.89,123.86,1400.0,329.95,329.95,,78.0,395.94,fee schedule
United Healthcare,99283,The Mount Sinai Hospital,CPT,NY,74.14,55.04,2100.0,329.95,329.95,,78.0,395.94,fee schedule
United Healthcare,99283,The Mount Sinai Hospital,CPT,NY,74.14,55.04,2100.0,329.95,329.95,,78.0,395.94,fee schedule
United Healthcare,99283,The Mount Sinai Hospital,CPT,NY,74.14,55.04,1400.0,329.95,329.95,,78.0,395.94,fee schedule
United Healthcare,99283,The Mount Sinai Hospital,CPT,NY,74.14,47.86,2100.0,329.95,329.95,,78.0,395.94,fee schedule
United Healthcare,99283,The Mount Sinai Hospital,CPT,NY,74.14,47.86,2100.0,329.95,329.95,,78.0,395.94,fee schedule
United Healthcare,99283,The Mount Sinai Hospital,CPT,NY,74.14,47.86,1400.0,329.95,329.95,,78.0,395.94,fee schedule
United Healthcare,99283,The Mount Sinai Hospital,CPT,NY,76.89,83.96,2100.0,329.95,329.95,,78.0,395.94,fee schedule
United Healthcare,99283,The Mount Sinai Hospital,CPT,NY,76.89,83.96,2100.0,329.95,329.95,,78.0,395.94,fee schedule
United Healthcare,99283,The Mount Sinai Hospital,CPT,NY,76.89,83.96,1400.0,329.95,329.95,,78.0,395.94,fee schedule
United Healthcare,99283,The Mount Sinai Hospital,CPT,NY,78.59,53.46,2100.0,329.95,329.95,,78.0,395.94,fee schedule
United Healthcare,99283,The Mount Sinai Hospital,CPT,NY,78.59,53.46,2100.0,329.95,329.95,,78.0,395.94,fee schedule
United Healthcare,99283,The Mount Sinai Hospital,CPT,NY,78.59,53.46,1400.0,329.95,329.95,,78.0,395.94,fee schedule
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,937.56,6438.0,,,6438.0,,2513.89,6438.0,case rate
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,937.56,6438.0,1800.0,1048.28,1048.28,,127.36,1257.93,fee schedule
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,937.56,6438.0,2200.0,1048.28,1048.28,,153.45,1257.93,fee schedule
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,937.56,2670.0,,,6438.0,,2513.89,6438.0,case rate
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,937.56,2670.0,1800.0,1048.28,1048.28,,127.36,1257.93,fee schedule
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,937.56,2670.0,2200.0,1048.28,1048.28,,153.45,1257.93,fee schedule
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,413.17,862.79,,,6438.0,,2513.89,6438.0,case rate
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,413.17,862.79,1800.0,1048.28,1048.28,,127.36,1257.93,fee schedule
